Age,Income,Education,Employment_Status,Marital_Status,Credit_Score,Loan_Approval
56,54674,Bachelors,Self-Employed,Divorced,427,Denied
69,55854,Masters,Self-Employed,Married,751,Approved
46,66271,PhD,Employed,Single,668,Denied
32,93688,High School,Employed,Divorced,342,Approved
60,58518,PhD,Self-Employed,Widowed,718,Approved
25,30267,Masters,Self-Employed,Married,787,Approved
38,110825,High School,Employed,Single,377,Approved
56,21062,Masters,Employed,Married,569,Denied
36,70448,Masters,Employed,Divorced,614,Denied
40,115462,Bachelors,Unemployed,Divorced,467,Denied
28,26229,High School,Self-Employed,Widowed,638,Denied
28,76793,Bachelors,Unemployed,Single,492,Approved
41,67915,High School,Self-Employed,Single,752,Denied
53,24632,Masters,Self-Employed,Widowed,582,Approved
57,23596,Masters,Self-Employed,Widowed,635,Denied
41,26168,PhD,Self-Employed,Single,689,Denied
20,27561,High School,Self-Employed,Married,824,Denied
39,93794,Bachelors,Self-Employed,Married,539,Approved
19,102152,PhD,Self-Employed,Widowed,782,Approved
41,46734,PhD,Unemployed,Married,757,Approved
61,26371,PhD,Employed,Single,388,Approved
47,46069,Bachelors,Employed,Divorced,394,Denied
55,99905,PhD,Unemployed,Divorced,751,Approved
19,32910,Bachelors,Unemployed,Married,727,Approved
38,93479,PhD,Unemployed,Widowed,450,Denied
50,97735,Bachelors,Unemployed,Widowed,813,Denied
29,101264,Masters,Self-Employed,Widowed,675,Approved
39,43275,Masters,Employed,Widowed,321,Denied
61,92274,Masters,Self-Employed,Widowed,612,Approved
42,101449,Masters,Employed,Married,818,Denied
66,80004,Masters,Employed,Divorced,505,Approved
44,82981,PhD,Unemployed,Divorced,674,Approved
59,104659,PhD,Self-Employed,Married,750,Approved
45,74553,PhD,Unemployed,Widowed,478,Approved
33,68447,Bachelors,Self-Employed,Married,509,Approved
32,54529,Bachelors,Employed,Divorced,799,Denied
64,95703,Bachelors,Unemployed,Single,763,Approved
68,96090,Bachelors,Unemployed,Married,423,Approved
61,37260,Masters,Employed,Widowed,412,Approved
69,23812,Masters,Employed,Divorced,311,Approved
20,48024,Masters,Employed,Divorced,425,Approved
54,78656,High School,Unemployed,Divorced,630,Denied
68,47285,PhD,Self-Employed,Divorced,582,Denied
24,112436,Bachelors,Unemployed,Widowed,439,Approved
38,21605,Bachelors,Self-Employed,Single,700,Denied
26,91158,Masters,Unemployed,Divorced,396,Approved
56,92303,Bachelors,Unemployed,Married,816,Denied
35,47139,Bachelors,Employed,Single,368,Denied
21,97149,PhD,Self-Employed,Divorced,417,Approved
42,76138,Masters,Unemployed,Single,358,Denied
31,96125,PhD,Unemployed,Married,332,Denied
67,33918,High School,Employed,Divorced,617,Approved
26,105655,High School,Employed,Married,349,Approved
43,47446,High School,Self-Employed,Widowed,788,Denied
19,33046,Masters,Unemployed,Divorced,318,Denied
37,44818,Bachelors,Self-Employed,Divorced,496,Denied
45,24324,Masters,Unemployed,Divorced,749,Approved
64,96323,Masters,Self-Employed,Divorced,751,Denied
24,29111,Bachelors,Employed,Widowed,588,Denied
61,58110,PhD,Unemployed,Divorced,440,Denied
25,36389,High School,Self-Employed,Single,383,Approved
64,61427,PhD,Employed,Divorced,690,Approved
52,99579,High School,Employed,Widowed,514,Approved
31,48746,Masters,Self-Employed,Divorced,825,Approved
34,107886,High School,Unemployed,Single,514,Denied
53,20117,Masters,Unemployed,Widowed,702,Approved
67,104471,PhD,Employed,Widowed,427,Denied
57,33234,Masters,Unemployed,Single,776,Denied
21,73441,PhD,Unemployed,Single,703,Denied
19,20846,Bachelors,Unemployed,Single,328,Denied
23,30954,Bachelors,Employed,Single,637,Approved
